Year,Value,Units
2019,0.91,Percent of Total Population
2019,36165.0,Total by Sheltered/Unsheltered
2019,36165.0,Total by Gender
2019,36165.0,Total by Race/ Ethnicity
2019,36165.0,Total by Age Group
2019,36165.0,Total by Sexual Orientation
2019,36165.0,Total by Health/ Disability
2019,36165.0,Total by DV/IPV
2018,0.78,Percent of Total Population
2018,31285.0,Total by Sheltered/Unsheltered
2018,31285.0,Total by Gender
2018,31285.0,Total by Race/ Ethnicity
2018,31285.0,Total by Age Group
2018,31285.0,Total by Health/ Disability
2018,31285.0,Total by DV/IPV
2017,0.83,Percent of Total Population
2017,33138.0,Total by Sheltered/Unsheltered
2017,33138.0,Total by Gender
2017,33138.0,Total by Race/ Ethnicity
2017,33138.0,Total by Age Group
2017,33138.0,Total by Health/ Disability
2017,33138.0,Total by DV/IPV
2016,0.72,Percent of Total Population
2016,28464.0,Total by Sheltered/Unsheltered
2016,28464.0,Total by Gender
2016,28464.0,Total by Race/ Ethnicity
2016,28464.0,Total by Age Group
2016,28464.0,Total by Health/ Disability
2016,28464.0,Total by DV/IPV
