Year,Value,Units
2011,0.054,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2012,0.059,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2013,0.055,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2014,0.052,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2015,0.045,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2016,0.037,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2017,0.032,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2018,0.026,"Agriculture, forestry, fishing and hunting as a proportion of total regional GDP"
2011,158129849.0,Commercial Landings Poundage (Pounds)
2012,162739931.0,Commercial Landings Poundage (Pounds)
2013,115623747.0,Commercial Landings Poundage (Pounds)
2014,55862018.0,Commercial Landings Poundage (Pounds)
2015,15082154.0,Commercial Landings Poundage (Pounds)
2016,36743539.0,Commercial Landings Poundage (Pounds)
2017,43554835.0,Commercial Landings Poundage (Pounds)
2018,29312445.0,Commercial Landings Poundage (Pounds)
2011,43846470.0,Commercial Landings Value (Dollars)
2012,47336390.0,Commercial Landings Value (Dollars)
2013,37420884.0,Commercial Landings Value (Dollars)
2014,24312130.0,Commercial Landings Value (Dollars)
2015,11698705.0,Commercial Landings Value (Dollars)
2016,21321705.0,Commercial Landings Value (Dollars)
2017,29197248.0,Commercial Landings Value (Dollars)
2018,21975766.0,Commercial Landings Value (Dollars)
