Year,Value,Units
2012,10.0,Percent by Age
2012,10.0,Percent by Gender
2012,10.0,Percent by Race
2012,10.0,Percent by Education
2012,10.0,Percentage by Employment
2013,9.8,Percent by Age
2013,9.8,Percent by Gender
2013,9.8,Percent by Race
2013,9.8,Percent by Education
2013,9.8,Percentage by Employment
2014,9.1,Percent by Age
2014,9.1,Percent by Gender
2014,9.1,Percent by Race
2014,9.1,Percent by Education
2014,9.1,Percentage by Employment
2015,8.7,Percent by Age
2015,8.7,Percent by Gender
2015,8.7,Percent by Race
2015,8.7,Percent by Education
2015,8.7,Percentage by Employment
2016,8.0,Percent by Age
2016,8.0,Percent by Gender
2016,8.0,Percent by Race
2016,8.0,Percent by Education
2016,8.0,Percentage by Employment
2017,7.1,Percent by Age
2017,7.1,Percent by Gender
2017,7.1,Percent by Race
2017,7.1,Percent by Education
2017,7.1,Percentage by Employment
2018,6.8,Percent by Age
2018,6.8,Percent by Gender
2018,6.8,Percent by Race
2018,6.8,Percent by Education
2018,6.8,Percentage by Employment
2019,7.3,Percent by Age
2019,7.3,Percent by Gender
2019,7.3,Percent by Race
2019,7.3,Percent by Education
2019,7.3,Percentage by Employment
