Year,Value,Units
2010,22348,Total
2011,21059,Total
2012,19634,Total
2013,17899,Total
2014,20387,Total
2015,25652,Total
2016,28778,Total
2017,30355,Total
2018,29954,Total
2019,29240,Total
2010,22348,Total by Gender
2011,21059,Total by Gender
2012,19634,Total by Gender
2013,17899,Total by Gender
2014,20387,Total by Gender
2015,25652,Total by Gender
2016,28778,Total by Gender
2017,30355,Total by Gender
2018,29954,Total by Gender
2019,29240,Total by Gender
2010,22348,Total by Race/ Ethnicity
2011,21059,Total by Race/ Ethnicity
2012,19634,Total by Race/ Ethnicity
2013,17899,Total by Race/ Ethnicity
2014,20387,Total by Race/ Ethnicity
2015,25652,Total by Race/ Ethnicity
2016,28778,Total by Race/ Ethnicity
2017,30355,Total by Race/ Ethnicity
2018,29954,Total by Race/ Ethnicity
2019,29240,Total by Race/ Ethnicity
